"responsibility","count","paths","decision"
"planner catalog normalization","4","features/planner/catalog/plannerCatalogCore.ts; features/planner/catalog/plannerManagedProductsShared.ts; features/planner/store/plannerCatalogCore.ts; features/planner/store/plannerManagedProductsShared.ts","Multiple candidate owners; validate canonical owner before moves"
"planner persistence","5","features/planner/lib/documentBridge.ts; features/planner/lib/fabricDocumentBridge.ts; features/planner/persistence/persistence.ts; features/planner/store/plannerPersistence.ts; features/planner/store/plannerProjectStorage.ts","Multiple candidate owners; validate canonical owner before moves"
"planner document bridge","7","features/planner/document/plannerDocumentBridge.ts; features/planner/lib/documentBridge.ts; features/planner/lib/fabricDocumentBridge.ts; features/planner/lib/quoteBridge.ts; features/planner/model/plannerDocument.ts; features/planner/model/plannerDocumentLogging.ts; features/planner/shared/document/documentBridge.ts","Multiple candidate owners; validate canonical owner before moves"
"planner templates","3","features/planner/store/floorTemplates.ts; features/planner/store/templates.ts; features/planner/templates/layoutTemplates.ts","Multiple candidate owners; validate canonical owner before moves"
"planner 3D scene","12","features/planner/3d/Planner3DViewer.tsx; features/planner/3d/index.ts; features/planner/3d/types.ts; features/planner/viewer/FixtureMeshes.tsx; features/planner/viewer/FurnitureMesh3D.tsx; features/planner/viewer/InstancedFurnitureRenderer.tsx; features/planner/viewer/PlannerViewer.tsx; features/planner/viewer/SceneEnvironment.tsx; features/planner/viewer/ShadowConfig.tsx; features/planner/viewer/plannerSceneSync.ts; features/planner/viewer/viewerFraming.ts; features/planner/viewer/viewerMaterials.ts","Multiple candidate owners; validate canonical owner before moves"
"planner catalog data","30","features/planner/catalog/CatalogBlockPreview.tsx; features/planner/catalog/CatalogDropFlash.tsx; features/planner/catalog/CatalogDropGhost.tsx; features/planner/catalog/CatalogPanel.tsx; features/planner/catalog/CatalogSidebar.tsx; features/planner/catalog/catalogBlockBridge.ts; features/planner/catalog/catalogDrop.ts; features/planner/catalog/catalogHierarchy.ts; features/planner/catalog/catalogStore.ts; features/planner/catalog/catalogTypes.ts; features/planner/catalog/furnitureBlocks2d.ts; features/planner/catalog/generatedCatalogItems.ts; features/planner/catalog/ingest/csvCatalogIngest.ts; features/planner/catalog/placementCatalogDefaults.ts; features/planner/catalog/placementCatalogResolver.ts; features/planner/catalog/plannerCatalog.ts; features/planner/catalog/plannerCatalogCore.ts; features/planner/catalog/plannerManagedProducts.client.ts; features/planner/catalog/plannerManagedProducts.ts; features/planner/catalog/plannerManagedProductsShared.ts; features/planner/catalog/renderBlockPrims.tsx; features/planner/catalog/workspaceCatalog.ts; features/planner/store/catalogData.ts; features/planner/store/catalogHelpers.ts; features/planner/store/plannerCatalog.ts; features/planner/store/plannerCatalogCore.ts; features/planner/store/plannerManagedProducts.client.ts; features/planner/store/plannerManagedProducts.ts; features/planner/store/plannerManagedProductsShared.ts; features/planner/store/unifiedCatalog.ts","Multiple candidate owners; validate canonical owner before moves"
