Status,Path,SizeBytes,ReferenceCount,ExampleReference,TopLevel
unused,public/fonts/helvetica-neue/HelveticaNeue-MediumCondObl.otf,18084,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-MediumExt.otf,25192,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-MediumExt.woff2,9484,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-MediumExtObl.otf,25312,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-Roman.otf,630408,0,,fonts
used,public/fonts/helvetica-neue/HelveticaNeue-Roman.woff2,9728,1,.\lib\fonts.ts:39,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-Thin.otf,24912,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-ThinCond.otf,24296,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-ThinCondObl.otf,24408,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-ThinExtObl.otf,24836,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-ThinItalic.otf,25964,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-UltraLigCond.otf,24428,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-UltraLigCondObl.otf,24540,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeue-UltraLigExt.otf,25048,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueBlackCondensed.woff,46916,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueBlackCondensed.woff2,33376,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueBold.ttf,61164,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueBoldCondensed.woff2,34228,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueBoldItalic.ttf,125532,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueCondensedBlack.ttf,75100,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueCondensedBold.ttf,78116,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueItalic.ttf,126636,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueLight.ttf,127072,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueLightItalic.ttf,129056,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueMedium.ttf,121592,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueUltraLight.ttf,123688,0,,fonts
unused,public/fonts/helvetica-neue/HelveticaNeueUltraLightItal.ttf,69804,0,,fonts
unused,public/fonts/helvetica-neue/helvetica-46-light-italic-587ebdb0ea724.ttf,43933,0,,fonts
unused,public/fonts/helvetica-neue/helvetica-47-light-condensed-587ebd7b5a6f6.ttf,44664,0,,fonts
unused,public/fonts/helvetica-neue/helvetica-75-bold-outline-587ebe00b76ba.ttf,59069,0,,fonts
unused,public/fonts/helvetica-neue/helveticaneue-bold.woff2,634808,0,,fonts
unused,public/fonts/helvetica-neue/helveticaneue-italic.woff2,605822,0,,fonts
unused,public/fonts/helvetica-neue/helveticaneue-light.woff2,450932,0,,fonts
unused,public/fonts/helvetica-neue/helveticaneue-medium.woff2,473493,0,,fonts
unused,public/fonts/helvetica-neue/helveticaneue-thin.woff2,477030,0,,fonts
unused,public/fonts/helvetica-neue/helveticaneue.woff2,635090,0,,fonts
unused,public/fonts/helvetica-neue/helveticaneueltstd_blk.otf,30564,0,,fonts
unused,public/icon-192.png,23532,0,,icon-192.png
unused,public/icon-512.png,112834,0,,icon-512.png
unused,public/icon.png,23532,0,,icon.png
unused,public/images/auth_background.png,758493,0,,images
used,public/images/backend-architecture/generated-architecture-board.png,1266223,3,.\app\(site)\backend-architecture\page.tsx:11,images
used,public/images/brand/logo-sharp-white.png,45784,1,.\components\ui\Logo.tsx:13,images
unused,public/images/brand/logo-sharp.png,131576,0,,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_6899ab6c10d61f61929e6bbb_image_1240.png,75726,2,.\data\site\localCatalogIndex.json:2095,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_6899abac81b853e07c6bdded_image_1238.png,76587,2,.\data\site\localCatalogIndex.json:1123,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_6899ac6f98d87ab3c05862ed_image_1218.png,97077,2,.\data\site\localCatalogIndex.json:1255,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68a319f5dafd6cd106ec5943_orbit.jpg,445945,3,.\data\site\localCatalogIndex.json:2542,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac09820580a18498c921c1_convesso.jpg,462580,2,.\data\site\localCatalogIndex.json:548,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac09a549f11a71a090b1bc_sleek_meet.jpg,438609,2,.\data\site\localCatalogIndex.json:2465,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac09c017fc68ec25131aa8_desk_meet.jpg,425523,2,.\data\site\localCatalogIndex.json:1112,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac09debc8b483e98f2e291_curvivo.jpg,351029,2,.\data\site\localCatalogIndex.json:827,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac0a42acae760a25ca04cd_letz_think.jpg,507816,2,.\data\site\localCatalogIndex.json:3905,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac0a8c7b975fe679fd0ee3_cafe_sleek_1.jpg,321259,2,.\data\site\localCatalogIndex.json:1216,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac0ad23ae62d06453de864_canvene_1.jpg,201949,2,.\data\site\localCatalogIndex.json:3012,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac0ae80580a18498c9f668_inox_1.jpg,134088,2,.\data\site\localCatalogIndex.json:3815,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac0b19714954caacc56e8c_stake_1.jpg,108211,2,.\data\site\localCatalogIndex.json:2505,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac0b807564dd58e2a3306e_nextable_1.jpg,320832,2,.\data\site\localCatalogIndex.json:1011,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac0bcdb10ee7e0d263392f_impulse_1.jpg,325589,2,.\data\site\localCatalogIndex.json:1034,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac0be40f3412327f1d163e_uniflip_1.jpg,298743,2,.\data\site\localCatalogIndex.json:2285,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_68ac0c17a71dc35ac0df3c77_modulus_1.jpg,279572,2,.\data\site\localCatalogIndex.json:2171,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_690320cae57dfa867bb9fb19_crest.jpg,316664,2,.\data\site\localCatalogIndex.json:1624,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_690f482177b80a5aa8d4f314_exquisite.jpg,396696,2,.\data\site\localCatalogIndex.json:1088,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_69207b1e31e6cda889f3dc1e_opus.jpg,387036,2,.\data\site\localCatalogIndex.json:3916,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_69271a27cccef8a26e5b982b_trio_1.jpg,204707,2,.\data\site\localCatalogIndex.json:4057,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_69280b87ff297e69976d3ab6_brim_1.jpg,117422,2,.\data\site\localCatalogIndex.json:2371,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_692af3dff014edab0a0eab6d_fynn.jpg,364246,2,.\data\site\localCatalogIndex.json:2382,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_693aa6dc791283acd3853cfa_fenix_1.jpg,168683,2,.\data\site\localCatalogIndex.json:3619,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_694a6270eafa71d6f5e33b7f_hat_2a.jpg,282452,2,.\data\site\localCatalogIndex.json:314,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_694b91752b9659cee7897a61_grace_landing_1.jpg,480194,2,.\data\site\localCatalogIndex.json:3255,images
used,public/images/catalog/686d3b55385e7b905b01d3a5_694bc1c696a177177806618c_moonlight_1.jpg,200331,2,.\data\site\localCatalogIndex.json:2582,images
used,public/images/catalog/oando-collaborative--cocoon-pod/image-1.webp,6172,3,.\scripts\arrange_supabase_catalog_assets.ts:95,images
used,public/images/catalog/oando-collaborative--solace-pod/image-1.webp,207146,3,.\scripts\arrange_supabase_catalog_assets.ts:91,images
used,public/images/catalog/oando-educational--academia/image-1.jpg,209442,2,.\data\site\localCatalogIndex.json:800,images
used,public/images/catalog/oando-educational--academia/image-2.jpg,190336,1,.\data\site\localCatalogIndex.json:801,images
used,public/images/catalog/oando-educational--academia/image-3.jpg,204870,1,.\data\site\localCatalogIndex.json:802,images
used,public/images/catalog/oando-educational--academia/image-4.jpg,125035,1,.\data\site\localCatalogIndex.json:803,images
used,public/images/catalog/oando-educational--audi-chair/image-1.jpg,254605,2,.\data\site\localCatalogIndex.json:119,images
used,public/images/catalog/oando-educational--audi-chair/image-2.jpg,247496,1,.\data\site\localCatalogIndex.json:120,images
used,public/images/catalog/oando-educational--audi-chair/image-3.jpg,238975,1,.\data\site\localCatalogIndex.json:121,images
used,public/images/catalog/oando-educational--audi-chair/image-4.jpg,239174,1,.\data\site\localCatalogIndex.json:122,images
used,public/images/catalog/oando-educational--classcraft/image-1.jpg,171921,2,.\data\site\localCatalogIndex.json:2259,images
used,public/images/catalog/oando-educational--classcraft/image-2.jpg,189208,1,.\data\site\localCatalogIndex.json:2260,images
used,public/images/catalog/oando-educational--classcraft/image-3.jpg,263459,1,.\data\site\localCatalogIndex.json:2261,images
used,public/images/catalog/oando-educational--classcraft/image-4.jpg,233081,1,.\data\site\localCatalogIndex.json:2262,images
used,public/images/catalog/oando-educational--connecta/image-1.jpg,193117,2,.\data\site\localCatalogIndex.json:1096,images
used,public/images/catalog/oando-educational--connecta/image-2.jpg,198921,1,.\data\site\localCatalogIndex.json:1097,images
used,public/images/catalog/oando-educational--connecta/image-3.jpg,359216,1,.\data\site\localCatalogIndex.json:1098,images
used,public/images/catalog/oando-educational--connecta/image-4.jpg,206074,1,.\data\site\localCatalogIndex.json:1099,images
used,public/images/catalog/oando-educational--forma/image-1.jpg,160876,2,.\data\site\localCatalogIndex.json:1425,images
used,public/images/catalog/oando-educational--forma/image-2.jpg,174969,1,.\data\site\localCatalogIndex.json:1426,images
used,public/images/catalog/oando-educational--forma/image-3.jpg,166207,1,.\data\site\localCatalogIndex.json:1427,images
used,public/images/catalog/oando-educational--learnix/image-1.jpg,373958,2,.\data\site\localCatalogIndex.json:3879,images
used,public/images/catalog/oando-educational--learnix/image-2.jpg,298317,1,.\data\site\localCatalogIndex.json:3880,images
used,public/images/catalog/oando-educational--learnix/image-3.jpg,358588,1,.\data\site\localCatalogIndex.json:3881,images
used,public/images/catalog/oando-educational--learnix/image-4.jpg,353250,1,.\data\site\localCatalogIndex.json:3882,images
used,public/images/catalog/oando-educational--magazine-rack/image-1.jpg,217034,2,.\data\site\localCatalogIndex.json:2215,images
used,public/images/catalog/oando-educational--magazine-rack/image-2.jpg,420935,1,.\data\site\localCatalogIndex.json:2216,images
used,public/images/catalog/oando-educational--magazine-rack/image-3.jpg,248306,1,.\data\site\localCatalogIndex.json:2217,images
used,public/images/catalog/oando-educational--magazine-rack/image-4.jpg,259147,1,.\data\site\localCatalogIndex.json:2218,images
used,public/images/catalog/oando-educational--metal-bed/image-1.jpg,222764,2,.\data\site\localCatalogIndex.json:1286,images
used,public/images/catalog/oando-educational--metal-bed/image-2.jpg,158995,1,.\data\site\localCatalogIndex.json:1287,images
used,public/images/catalog/oando-educational--metal-bed/image-3.jpg,184516,1,.\data\site\localCatalogIndex.json:1288,images
used,public/images/catalog/oando-educational--performer/image-1.jpg,139802,2,.\data\site\localCatalogIndex.json:1747,images
used,public/images/catalog/oando-educational--performer/image-2.jpg,150886,1,.\data\site\localCatalogIndex.json:1748,images
used,public/images/catalog/oando-educational--performer/image-3.jpg,119579,1,.\data\site\localCatalogIndex.json:1749,images
used,public/images/catalog/oando-educational--performer/image-4.jpg,93092,1,.\data\site\localCatalogIndex.json:1750,images
used,public/images/catalog/oando-educational--podium/image-1.jpg,226685,2,.\data\site\localCatalogIndex.json:3949,images
used,public/images/catalog/oando-educational--podium/image-2.jpg,138019,1,.\data\site\localCatalogIndex.json:3950,images
used,public/images/catalog/oando-educational--podium/image-3.jpg,123351,1,.\data\site\localCatalogIndex.json:3951,images
used,public/images/catalog/oando-educational--podium/image-4.jpg,202915,1,.\data\site\localCatalogIndex.json:3952,images
used,public/images/catalog/oando-educational--wooden-bed/image-1.jpg,294423,2,.\data\site\localCatalogIndex.json:3114,images
used,public/images/catalog/oando-educational--wooden-bed/image-2.jpg,244745,1,.\data\site\localCatalogIndex.json:3115,images
used,public/images/catalog/oando-educational--wooden-bed/image-3.jpg,264334,1,.\data\site\localCatalogIndex.json:3116,images
used,public/images/catalog/oando-educational--wooden-bed/image-4.jpg,174389,1,.\data\site\localCatalogIndex.json:3117,images
used,public/images/catalog/oando-educational--xplorer/image-1.jpg,193648,2,.\data\site\localCatalogIndex.json:2412,images
used,public/images/catalog/oando-educational--xplorer/image-2.jpg,164960,1,.\data\site\localCatalogIndex.json:2413,images
used,public/images/catalog/oando-educational--xplorer/image-3.jpg,200830,1,.\data\site\localCatalogIndex.json:2414,images
used,public/images/catalog/oando-educational--xplorer/image-4.jpg,207237,1,.\data\site\localCatalogIndex.json:2415,images
used,public/images/catalog/oando-seating--arvo/image-01.webp,35460,5,.\scripts\catalog-seating.json:1344,images
used,public/images/catalog/oando-seating--arvo/image-02.webp,460610,3,.\scripts\catalog-seating.json:1345,images
used,public/images/catalog/oando-seating--arvo/image-03.webp,27382,3,.\scripts\catalog-seating.json:1346,images
used,public/images/catalog/oando-seating--arvo/image-04.webp,22324,3,.\scripts\catalog-seating.json:1347,images
used,public/images/catalog/oando-seating--arvo/image-05.webp,27820,3,.\scripts\catalog-seating.json:1348,images
used,public/images/catalog/oando-seating--arvo/image-06.webp,22398,3,.\scripts\catalog-seating.json:1349,images
used,public/images/catalog/oando-seating--arvo/image-07.webp,36222,1,.\data\site\localCatalogIndex.json:1902,images
used,public/images/catalog/oando-seating--arvo/image-08.webp,78174,3,.\scripts\catalog-seating.json:1350,images
used,public/images/catalog/oando-seating--arvo/image-09.webp,75350,3,.\scripts\catalog-seating.json:1351,images
used,public/images/catalog/oando-seating--arvo/image-1.jpg,67954,7,.\tests\integration\site-catalog-specSchema.test.ts:30,images
used,public/images/catalog/oando-seating--arvo/image-10.webp,26004,3,.\scripts\catalog-seating.json:1352,images
used,public/images/catalog/oando-seating--arvo/image-11.webp,6186,3,.\scripts\catalog-seating.json:1353,images
used,public/images/catalog/oando-seating--arvo/image-2.jpg,585497,4,.\tests\integration\site-catalog-specSchema.test.ts:31,images
used,public/images/catalog/oando-seating--arvo/image-3.jpg,57034,1,.\data\site\localCatalogIndex.json:1896,images
used,public/images/catalog/oando-seating--arvo/image-4.jpg,44048,1,.\data\site\localCatalogIndex.json:1898,images
used,public/images/catalog/oando-seating--breeze/image-01.webp,48424,6,.\scripts\catalog-seating.json:943,images
used,public/images/catalog/oando-seating--breeze/image-02.webp,50662,4,.\scripts\catalog-seating.json:944,images
used,public/images/catalog/oando-seating--breeze/image-03.webp,28026,4,.\scripts\catalog-seating.json:945,images
used,public/images/catalog/oando-seating--breeze/image-04.webp,26528,4,.\scripts\catalog-seating.json:946,images
used,public/images/catalog/oando-seating--breeze/image-05.webp,68976,4,.\scripts\catalog-seating.json:947,images
